psalm,positive
1,1
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,0
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,1
85,0
86,1
87,1
88,0
89,0
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,1
140,0
141,0
142,0
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,1
