psalm,verse_number,text,compound_sentiment,clean_text,cluster,cluster_label
1,1,"Happy are those who do not follow the advice of the wicked, or take the path that sinners tread, or sit in the seat of scoffers;",0.0772,happy follow advice wicked take path sinners tread sit seat scoffers,3,Judgment & Righteousness
1,2,"but their delight is in the law of the Lord, and on his law they meditate day and night.",0.7469,delight law lord law meditate day night,4,Victory and Power
1,3,"They are like trees planted by streams of water, which yield their fruit in its season, and their leaves do not wither. In all that they do, they prosper.",0.3612,like trees planted streams water yield fruit season leaves wither prosper,1,Poetic Metaphors
1,4,"The wicked are not so, but are like chaff that the wind drives away.",0.2617,wicked like chaff wind drives away,1,Poetic Metaphors
1,5,"Therefore the wicked will not stand in the judgment, nor sinners in the congregation of the righteous;",-0.5267,therefore wicked stand judgment sinners congregation righteous,3,Judgment & Righteousness
1,6,"for the Lord watches over the way of the righteous, but the way of the wicked will perish.",-0.6808,lord watches way righteous way wicked perish,4,Victory and Power
2,1,"Why do the nations conspire, and the peoples plot in vain?",-0.4215,nations conspire peoples plot vain,3,Judgment & Righteousness
2,2,"The kings of the earth set themselves, and the rulers take counsel together, against the Lord and his anointed, saying,",0.0,kings earth set rulers take counsel together lord anointed saying,4,Victory and Power
2,3,"“Let us burst their bonds asunder, and cast their cords from us.”",0.0,let us burst bonds asunder cast cords us,1,Poetic Metaphors
2,4,He who sits in the heavens laughs; the Lord has them in derision.,0.5719,sits heavens laughs lord derision,4,Victory and Power
2,5,"Then he will speak to them in his wrath, and terrify them in his fury, saying,",-0.7906,speak wrath terrify fury saying,3,Judgment & Righteousness
2,6,"“I have set my king on Zion, my holy hill.”",0.0,set king zion holy hill,2,Protection and Authority
2,7,"I will tell of the decree of the Lord: He said to me, “You are my son; today I have begotten you.",0.0,tell decree lord said son today begotten,4,Victory and Power
2,8,"Ask of me, and I will make the nations your heritage, and the ends of the earth your possession.",0.0,ask make nations heritage ends earth possession,2,Protection and Authority
2,9,"You shall break them with a rod of iron, and dash them in pieces like a potter’s vessel.”",0.3612,shall break rod iron dash pieces like potter vessel,1,Poetic Metaphors
